playerID,sex,age,anxiety,avoid,sum,level
A01,1,23,35,28,63,2
A02,1,25,0,13,13,0
A03,1,25,28,35,63,2
A04,1,26,11,11,22,0
A05,1,22,13,15,28,0
A06,-1,23,33,33,66,3
A07,-1,23,18,22,40,1
A09,1,24,39,34,73,3
A10,1,23,39,22,61,2
A11,-1,24,45,28,73,3
A12,1,24,8,12,20,0
A13,1,29,27,26,53,2
A16,-1,22,18,13,31,1
A17,1,27,27,38,65,3
A20,-1,24,27,7,34,1
A21,1,23,15,9,24,0
A22,1,18,38,38,76,3
A23,1,18,32,40,72,3
A24,-1,23,19,31,50,2
A25,-1,23,26,24,50,2
A28,1,24,13,13,26,0
C01,1,24,50,32,82,4
C02,-1,24,28,39,67,3
C03,1,25,30,31,61,2
C04,1,22,37,18,55,2
C05,1,22,37,39,76,3
C06,-1,24,22,24,46,1
C07,1,25,32,31,63,2
C08,1,22,39,43,82,4
C09,-1,24,22,23,45,1
C10,-1,22,36,29,65,3
C11,-1,24,32,34,66,3
C12,-1,22,27,42,69,3
C13,-1,25,55,51,106,5
C15,-1,23,44,46,90,4
C16,1,25,21,11,32,1
C17,1,22,24,22,46,1
C18,-1,24,44,43,87,4
C20,1,27,28,30,58,2
C21,-1,22,48,37,85,4
C22,-1,22,40,29,69,3
C24,1,24,34,32,66,3
C26,1,26,39,41,80,4
C27,1,23,31,17,48,1
C28,-1,22,27,27,50,2
C30,1,25,30,20,39,1
C32,-1,23,20,19,39,1
C34,-1,24,56,40,96,5
C35,-1,23,28,22,50,2
C36,-1,22,31,21,52,2
C38,-1,24,45,32,77,3
C39,-1,25,39,39,78,3
C40,-1,22,45,46,91,4
C41,-1,24,32,34,66,3
C47,1,25,21,31,52,2
C48,-1,23,29,35,64,2
